,hop_count,avg_rtt_ms,max_rtt_ms,min_rtt_ms,success_rate,packet_loss
s3.amazonaws.com,11,62.43985349481756,213.25278282165527,3.3121109008789062,52.38095238095239,32.25806451612903
azure.microsoft.com,14,93.15877301352364,254.12702560424805,3.5550594329833984,100.0,0.0
storage.googleapis.com,22,70.89529254219748,263.7817859649658,3.0188560485839844,100.0,0.0
